date,time,site,experiment,trt,block,block_let,water_line_height (m),base_height_cm,base_gps,gps_point,auto_level(m),lat,long
1/10/20,13:26,Cosign,1A,AbTegHerm,1,1,4.05,119,1,6,3.89,331631.1,1193438.1
1/10/20,13:26,Cosign,1A,AbTegHerm,2,2,4.05,119,1,7,3.79,331631.1,1193438.1
1/10/20,13:26,Cosign,1A,AbTegHerm,3,3,4.05,119,1,8,3.83,331631.2,1193438.1
1/10/20,13:26,Cosign,1A,AbTegHerm,4,4,4.05,119,1,9,3.61,331630.4,1193438.2
1/10/20,13:26,Cosign,1A,AbTegHerm,5,5,4.05,119,1,10,3.61,331630.2,1193438.1
1/10/20,13:26,Cosign,1A,AbTegHerm,6,6,4.05,119,1,11,3.76,331631.2,1193438.3
1/10/20,13:26,Cosign,1A,AbTegHerm,7,7,4.05,119,1,12,3.78,331631.3,1193438.5
1/10/20,13:26,Cosign,1A,AbTegHerm,8,8,4.05,119,1,13,3.73,331631.4,1193438.2
1/10/20,13:26,Cosign,1A,AbTegHerm,9,9,4.05,119,1,14,3.77,331630.9,1193437.9
1/10/20,13:26,Cosign,1A,AbTegHerm,10,10,4.05,119,1,15,3.79,331630.4,1193438.3
1/10/20,13:26,Cosign,1B,AbTegHerm,11,11,4.05,119,1,16,3.82,331628.4,1193435.6
1/10/20,13:26,Cosign,1B,AbTegHerm,12,12,4.05,119,1,17,3.82,331628.5,1193435.6
1/10/20,13:26,Cosign,1B,AbTegHerm,13,13,4.05,119,1,18,3.57,331628.9,1163436.1
1/10/20,13:26,Cosign,1B,AbTegHerm,14,14,4.05,119,1,19,3.95,331628.9,1193436.2
1/10/20,13:26,Cosign,1B,AbTegHerm,15,15,4.05,119,1,20,3.58,331630,1193437.7
1/10/20,13:26,Cosign,2A,TegHerm,1,R,4.05,119,1,21,3.53,331630.7,1193437.7
1/10/20,13:26,Cosign,2A,TegHerm,2,N,4.05,119,1,22,3.54,3316305,1193437.7
1/10/20,13:26,Cosign,2A,TegHerm,3,L,4.05,119,1,23,3.62,331630.5,1193437.7
1/10/20,13:26,Cosign,2A,TegHerm,4,K,4.05,119,1,24,3.56,331630.4,1193437.7
1/10/20,13:26,Cosign,2A,TegHerm,5,J,4.05,119,1,25,3.41,331630.3,1193437.2
1/10/20,13:26,Cosign,2A,TegHerm,6,P,4.05,119,1,26,3.46,331630.2,1193437.5
1/10/20,13:26,Cosign,2A,Ab,1,F,4.05,119,1,27,3.69,331632.1,1193438.9
1/10/20,13:26,Cosign,2A,Ab,2,Q,4.05,119,1,28,3.07,331632,1193438.8
1/10/20,13:26,Cosign,2A,Ab,3,A,4.05,119,1,29,3.38,331632,1193438.8
1/10/20,13:26,Cosign,2A,Ab,4,H,4.05,119,1,30,3.98,331631.9,1193438.7
1/10/20,13:26,Cosign,2A,Ab,5,M,4.05,119,1,31,3.78,331631.7,1193438.6
1/10/20,13:26,Cosign,2A,Ab,6,B,4.05,119,1,32,3.74,331631.7,1193438.6
1/10/20,13:26,Cosign,2A,AbUrch,1,O,4.05,119,1,33,4.36,331632.2,1193439
1/10/20,13:26,Cosign,2A,AbUrch,2,G,4.05,119,1,34,4.28,331632.1,1193439
1/10/20,13:26,Cosign,2A,AbUrch,3,I,4.05,119,1,35,4.36,331632.1,1193439
1/10/20,13:26,Cosign,2A,AbUrch,4,D,4.05,119,1,36,4.35,331631.8,1193439
1/10/20,13:26,Cosign,2A,AbUrch,5,E,4.05,119,1,37,4.19,331632,1193438.9
1/10/20,13:26,Cosign,2A,AbUrch,6,C,4.05,119,1,38,4.32,331631.7,1193439
1/10/20,13:26,Cosign,2B,Ab,7,HH,4.05,119,1,39,3.73,331630.5,1193438.5
1/10/20,13:26,Cosign,2B,Ab,8,II,4.05,119,1,40,3.49,331630.5,1193438.5
1/10/20,13:26,Cosign,2B,Ab,9,LL,4.05,119,1,41,3.37,331630.5,1193438.5
1/10/20,13:26,Cosign,2B,TegHerm,7,W,4.05,119,1,42,3.65,331629.9,1193437.5
1/10/20,13:26,Cosign,2B,TegHerm,8,DD,4.05,119,1,43,3.66,331629.9,1193437.5
1/10/20,13:26,Cosign,2B,TegHerm,9,CC,4.05,119,1,44,3.51,331629.6,1193437
1/10/20,13:26,Cosign,2B,Herm,1,MM,4.05,119,1,45,3.62,331629.9,1193437.6
1/10/20,13:26,Cosign,2B,Herm,2,JJ,4.05,119,1,46,3.62,331629.7,1193437.5
1/10/20,15:57,Cosign,2B,Herm,3,KK,4.61,119,51,47,3.64,331629.6,1193437.2
1/10/20,15:57,Cosign,2B,Herm,4,T,4.61,119,51,48,3.63,331629.5,1193437.1
1/10/20,15:57,Cosign,2B,Herm,5,FF,4.61,119,51,49,3.64,331629.5,1193437
1/10/20,15:57,Cosign,NA,NA,6,Y,4.61,119,51,50,3.64,331629.3,1193436.8
1/10/20,15:57,Cosign,NA,NA,NA,,NA,NA,NA,51,NA,331629.8,1193436.9
1/10/20,15:57,Cosign,2B,Herm,7,GG,4.61,119,51,52,3.74,331629,1193436.6
1/10/20,15:57,Cosign,2B,Herm,8,AA,4.61,119,51,53,3.92,331628.9,1193436.4
1/10/20,15:57,Cosign,2B,Herm,9,BB,4.61,119,51,54,3.88,331628.9,1193436.3